timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
07/09/2023 14:51:35,22,cis,201,Created,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-2,true,565,258,10,10,22,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:35,340,GetBasket,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-8,true,78437,669,10,10,325,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:35,27,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-9,true,660,508,10,10,27,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:35,27,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-7,true,660,508,10,10,27,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:35,31,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-3,true,108,704,10,10,31,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:35,47,AddItemToBasket,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-4,true,242,765,10,10,47,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:36,70,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-6,true,108,704,10,10,70,1,0,jmeter-injector-07,0,39
07/09/2023 14:51:36,31,AddItemToBasket,400,Bad Request,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-1,false,159,765,10,10,31,1,1,jmeter-injector-07,0,0
07/09/2023 14:51:36,30,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-9,true,108,704,10,10,30,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:36,22,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-10,true,108,620,10,10,22,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:36,29,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-8,true,108,704,10,10,28,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:36,0,Debug Sampler,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-8,true,1320,0,10,10,0,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:36,45,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-7,true,108,704,10,10,45,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:36,46,AddItemToBasket,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-6,true,242,765,10,10,46,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:36,23,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-2,true,108,620,10,10,23,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:36,73,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-5,true,108,704,10,10,73,1,0,jmeter-injector-07,0,40
07/09/2023 14:51:37,0,Debug Sampler,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-5,true,1321,0,10,10,0,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:36,352,GetBasket,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-9,true,78033,669,10,10,338,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:37,35,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-6,true,660,508,10,10,35,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:37,85,AddItemToBasket,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-3,true,242,765,10,10,85,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:37,25,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-1,true,660,508,10,10,25,1,0,jmeter-injector-07,0,0
